DUBLETTEN-REPORT
Quelldatei: D:\Entwicklung\GitHub\BE_Scraper_list\brickeconomy_sets_2026-04-05_11-40.xlsx
Datum: 06.04.2026 11:23:00
--------------------------------------------------

Gefundene Dubletten (17700 Zeilen):

            Set Gruppe Set Nummer                                                        Set Name   Jahr Value (€)     Growth
           Adventurers       7419                                                 Dragon Fortress 2003.0   €798.39    +908.2%
           Adventurers     7418-2                               Scorpion Palace and Foam Scimitar 2003.0   €328.52    +522.3%
           Adventurers       7418                                                 Scorpion Palace 2003.0   €271.41    +517.0%
           Adventurers       7417                                         Temple of Mount Everest 2003.0   €191.53    +625.7%
           Adventurers       7416                                                  Emperor's Ship 2003.0    €90.81    +416.2%
           Adventurers       7415                                                      Aero Nomad 2003.0   €124.16    +605.8%
           Adventurers       7412                                                  Yeti's Hideout 2003.0    €56.23    +539.6%
           Adventurers       7413                                              Passage of Jun-Chi 2003.0    €47.48    +440.1%
           Adventurers        NaN                                                World Travel Kit 2003.0   €103.88    +808.7%
           Adventurers       7411                                                  Tygurah's Roar 2003.0    €54.74    +522.7%
           Adventurers       7414                                                Elephant Caravan 2003.0   €151.92    +763.6%
           Adventurers       7420                                                  Thunder Blazer 2003.0    €65.07    +825.4%
           Adventurers       7410                                                    Jungle River 2003.0    €43.89    +524.3%
           Adventurers       7409                                              Secret of the Tomb 2003.0    €15.83    +350.9%
           Adventurers       7422                                                       Red Eagle 2003.0    €17.91    +410.0%
           Adventurers       7423                                                 Mountain Sleigh 2003.0    €13.47    +283.7%
           Adventurers       7424                                                   Black Cruiser 2003.0    €63.52   +1709.0%
           Adventurers       3380                                                  Johnny Thunder 2003.0    €55.18        NaN
           Adventurers       3381                                                    Sam Sinister 2003.0    €26.25        NaN
           Adventurers       3382                                                        Jing Lee 2003.0    €33.92        NaN
           Adventurers       5987                                          Dino Research Compound 2000.0   €519.30    +637.7%
           Adventurers       5975                                                 T-Rex Transport 2000.0   €438.94    +897.8%
           Adventurers       5935                                                   Island Hopper 2000.0   €132.82    +655.0%
           Adventurers       5955                                             All Terrain Trapper 2000.0   €155.79    +490.3%
           Adventurers       5934                                                   Dino Explorer 2000.0    €77.52    +487.7%
           Adventurers       5921                                                 Research Glider 2000.0    €30.26    +474.1%
           Adventurers       5920                                                    Island Racer 2000.0    €47.95    +809.7%
           Adventurers       1280                                        Dr. Kilroy's Microcopter 2000.0    €17.60        NaN
           Adventurers       5904                                                     Microcopter 2000.0    €12.36    +606.0%
           Adventurers       1281                                               Mike's Dinohunter 2000.0    €22.00        NaN
           Adventurers       1278                                          Jones and Baby Tyranno 2000.0    €34.87        NaN
           Adventurers       5903                                       Johnny Thunder and Baby T 2000.0    €41.07   +2245.2%
           Adventurers       5911                                          Johnny Thunder's Plane 2000.0    €19.92    +657.2%
